exp_num,text,label
0,Peer pressure can cause you to allow inappropriate behavior.,good
0,Rules apply differently to the group.,bad
0,peer pressure can lower your standards,good
0,ghosts can lower your standards,bad
0,making hard decisions can become a problem,good
0,do not addressing issues of honesty can mess things up,good
0,Not arriving at your workplace on time may affect others,good
0,giving respect to others is troublesome,bad
0,completing the work before time will create issues,bad
0,taking responsibility for your mistakes may disrespect others,bad
1,Correcting someone's behaviour can get you in trouble,good
1,People will love when you correct someone's behaviour,bad
1,Doing risky things can get you in trouble,good
1,Risky things can give you a new car,bad
1,Affecting others emotionally can make it difficult to work with them,good
1,People love when they are affected emotionally,bad
1,Shouting or speaking in anger can decrease your integrity values,good
1,minding your own business is the best choice,bad
1,giving orders and demeaning others can decrease your integrity qualifications,good
1,loving and caring for other people ,bad
2,Enforcing the rules can make you unpopular.,good
2,enforcing the rules will make you feel superior.,bad
2,Integrity means doing the right thing even when it is unpopular,good
2,Integrity means doing the right thing even when it is green,bad
2,Integrity is the practice of being honest and showing a consistent and uncompromising adherence to strong moral and ethical principles and values,good
2,Dishonesty and inconsistency are the qualities of itegrity,bad
2,Helping others is what integrity is all about,good
2,People with integrity never value other people,bad
2,Those with integrity are gracious when others provide assistance,good
2,Those with integrity are not trustworthy,bad
